,date,product,PK_Md,relevancy
0,2022-08-21,iphone 12,0fd8e23cca352854a7ae750538684cc6,78
1,2022-08-28,iphone 12,0fd8e23cca352854a7ae750538684cc6,71
2,2022-09-04,iphone 12,0fd8e23cca352854a7ae750538684cc6,91
3,2022-09-11,iphone 12,0fd8e23cca352854a7ae750538684cc6,95
4,2022-09-18,iphone 12,0fd8e23cca352854a7ae750538684cc6,100
5,2022-09-25,iphone 12,0fd8e23cca352854a7ae750538684cc6,85
6,2022-10-02,iphone 12,0fd8e23cca352854a7ae750538684cc6,79
7,2022-10-09,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
8,2022-10-16,iphone 12,0fd8e23cca352854a7ae750538684cc6,78
9,2022-10-23,iphone 12,0fd8e23cca352854a7ae750538684cc6,72
10,2022-10-30,iphone 12,0fd8e23cca352854a7ae750538684cc6,72
11,2022-11-06,iphone 12,0fd8e23cca352854a7ae750538684cc6,74
12,2022-11-13,iphone 12,0fd8e23cca352854a7ae750538684cc6,77
13,2022-11-20,iphone 12,0fd8e23cca352854a7ae750538684cc6,90
14,2022-11-27,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
15,2022-12-04,iphone 12,0fd8e23cca352854a7ae750538684cc6,70
16,2022-12-11,iphone 12,0fd8e23cca352854a7ae750538684cc6,77
17,2022-12-18,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
18,2022-12-25,iphone 12,0fd8e23cca352854a7ae750538684cc6,88
19,2023-01-01,iphone 12,0fd8e23cca352854a7ae750538684cc6,83
20,2023-01-08,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
21,2023-01-15,iphone 12,0fd8e23cca352854a7ae750538684cc6,73
22,2023-01-22,iphone 12,0fd8e23cca352854a7ae750538684cc6,71
23,2023-01-29,iphone 12,0fd8e23cca352854a7ae750538684cc6,74
24,2023-02-05,iphone 12,0fd8e23cca352854a7ae750538684cc6,68
25,2023-02-12,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
26,2023-02-19,iphone 12,0fd8e23cca352854a7ae750538684cc6,63
27,2023-02-26,iphone 12,0fd8e23cca352854a7ae750538684cc6,68
28,2023-03-05,iphone 12,0fd8e23cca352854a7ae750538684cc6,61
29,2023-03-12,iphone 12,0fd8e23cca352854a7ae750538684cc6,65
30,2023-03-19,iphone 12,0fd8e23cca352854a7ae750538684cc6,63
31,2023-03-26,iphone 12,0fd8e23cca352854a7ae750538684cc6,62
32,2023-04-02,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
33,2023-04-09,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
34,2023-04-16,iphone 12,0fd8e23cca352854a7ae750538684cc6,63
35,2023-04-23,iphone 12,0fd8e23cca352854a7ae750538684cc6,68
36,2023-04-30,iphone 12,0fd8e23cca352854a7ae750538684cc6,63
37,2023-05-07,iphone 12,0fd8e23cca352854a7ae750538684cc6,62
38,2023-05-14,iphone 12,0fd8e23cca352854a7ae750538684cc6,60
39,2023-05-21,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
40,2023-05-28,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
41,2023-06-04,iphone 12,0fd8e23cca352854a7ae750538684cc6,65
42,2023-06-11,iphone 12,0fd8e23cca352854a7ae750538684cc6,70
43,2023-06-18,iphone 12,0fd8e23cca352854a7ae750538684cc6,70
44,2023-06-25,iphone 12,0fd8e23cca352854a7ae750538684cc6,66
45,2023-07-02,iphone 12,0fd8e23cca352854a7ae750538684cc6,73
46,2023-07-09,iphone 12,0fd8e23cca352854a7ae750538684cc6,74
47,2023-07-16,iphone 12,0fd8e23cca352854a7ae750538684cc6,65
48,2023-07-23,iphone 12,0fd8e23cca352854a7ae750538684cc6,65
49,2023-07-30,iphone 12,0fd8e23cca352854a7ae750538684cc6,68
50,2023-08-06,iphone 12,0fd8e23cca352854a7ae750538684cc6,67
51,2023-08-13,iphone 12,0fd8e23cca352854a7ae750538684cc6,72
0,2022-08-21,iphone 13,0fd8e23cca352854a7ae750538684cc6,66
1,2022-08-28,iphone 13,0fd8e23cca352854a7ae750538684cc6,69
2,2022-09-04,iphone 13,0fd8e23cca352854a7ae750538684cc6,100
3,2022-09-11,iphone 13,0fd8e23cca352854a7ae750538684cc6,90
4,2022-09-18,iphone 13,0fd8e23cca352854a7ae750538684cc6,91
5,2022-09-25,iphone 13,0fd8e23cca352854a7ae750538684cc6,78
6,2022-10-02,iphone 13,0fd8e23cca352854a7ae750538684cc6,70
7,2022-10-09,iphone 13,0fd8e23cca352854a7ae750538684cc6,66
8,2022-10-16,iphone 13,0fd8e23cca352854a7ae750538684cc6,59
9,2022-10-23,iphone 13,0fd8e23cca352854a7ae750538684cc6,58
10,2022-10-30,iphone 13,0fd8e23cca352854a7ae750538684cc6,55
11,2022-11-06,iphone 13,0fd8e23cca352854a7ae750538684cc6,56
12,2022-11-13,iphone 13,0fd8e23cca352854a7ae750538684cc6,56
13,2022-11-20,iphone 13,0fd8e23cca352854a7ae750538684cc6,70
14,2022-11-27,iphone 13,0fd8e23cca352854a7ae750538684cc6,57
15,2022-12-04,iphone 13,0fd8e23cca352854a7ae750538684cc6,52
16,2022-12-11,iphone 13,0fd8e23cca352854a7ae750538684cc6,56
17,2022-12-18,iphone 13,0fd8e23cca352854a7ae750538684cc6,57
18,2022-12-25,iphone 13,0fd8e23cca352854a7ae750538684cc6,65
19,2023-01-01,iphone 13,0fd8e23cca352854a7ae750538684cc6,55
20,2023-01-08,iphone 13,0fd8e23cca352854a7ae750538684cc6,54
21,2023-01-15,iphone 13,0fd8e23cca352854a7ae750538684cc6,48
22,2023-01-22,iphone 13,0fd8e23cca352854a7ae750538684cc6,48
23,2023-01-29,iphone 13,0fd8e23cca352854a7ae750538684cc6,51
24,2023-02-05,iphone 13,0fd8e23cca352854a7ae750538684cc6,45
25,2023-02-12,iphone 13,0fd8e23cca352854a7ae750538684cc6,44
26,2023-02-19,iphone 13,0fd8e23cca352854a7ae750538684cc6,43
27,2023-02-26,iphone 13,0fd8e23cca352854a7ae750538684cc6,45
28,2023-03-05,iphone 13,0fd8e23cca352854a7ae750538684cc6,43
29,2023-03-12,iphone 13,0fd8e23cca352854a7ae750538684cc6,41
30,2023-03-19,iphone 13,0fd8e23cca352854a7ae750538684cc6,42
31,2023-03-26,iphone 13,0fd8e23cca352854a7ae750538684cc6,41
32,2023-04-02,iphone 13,0fd8e23cca352854a7ae750538684cc6,41
33,2023-04-09,iphone 13,0fd8e23cca352854a7ae750538684cc6,44
34,2023-04-16,iphone 13,0fd8e23cca352854a7ae750538684cc6,40
35,2023-04-23,iphone 13,0fd8e23cca352854a7ae750538684cc6,41
36,2023-04-30,iphone 13,0fd8e23cca352854a7ae750538684cc6,44
37,2023-05-07,iphone 13,0fd8e23cca352854a7ae750538684cc6,42
38,2023-05-14,iphone 13,0fd8e23cca352854a7ae750538684cc6,39
39,2023-05-21,iphone 13,0fd8e23cca352854a7ae750538684cc6,42
40,2023-05-28,iphone 13,0fd8e23cca352854a7ae750538684cc6,41
41,2023-06-04,iphone 13,0fd8e23cca352854a7ae750538684cc6,43
42,2023-06-11,iphone 13,0fd8e23cca352854a7ae750538684cc6,44
43,2023-06-18,iphone 13,0fd8e23cca352854a7ae750538684cc6,41
44,2023-06-25,iphone 13,0fd8e23cca352854a7ae750538684cc6,43
45,2023-07-02,iphone 13,0fd8e23cca352854a7ae750538684cc6,47
46,2023-07-09,iphone 13,0fd8e23cca352854a7ae750538684cc6,47
47,2023-07-16,iphone 13,0fd8e23cca352854a7ae750538684cc6,44
48,2023-07-23,iphone 13,0fd8e23cca352854a7ae750538684cc6,42
49,2023-07-30,iphone 13,0fd8e23cca352854a7ae750538684cc6,44
50,2023-08-06,iphone 13,0fd8e23cca352854a7ae750538684cc6,43
51,2023-08-13,iphone 13,0fd8e23cca352854a7ae750538684cc6,44
0,2022-08-21,iphone 14,0fd8e23cca352854a7ae750538684cc6,19
1,2022-08-28,iphone 14,0fd8e23cca352854a7ae750538684cc6,20
2,2022-09-04,iphone 14,0fd8e23cca352854a7ae750538684cc6,100
3,2022-09-11,iphone 14,0fd8e23cca352854a7ae750538684cc6,64
4,2022-09-18,iphone 14,0fd8e23cca352854a7ae750538684cc6,58
5,2022-09-25,iphone 14,0fd8e23cca352854a7ae750538684cc6,39
6,2022-10-02,iphone 14,0fd8e23cca352854a7ae750538684cc6,32
7,2022-10-09,iphone 14,0fd8e23cca352854a7ae750538684cc6,31
8,2022-10-16,iphone 14,0fd8e23cca352854a7ae750538684cc6,28
9,2022-10-23,iphone 14,0fd8e23cca352854a7ae750538684cc6,27
10,2022-10-30,iphone 14,0fd8e23cca352854a7ae750538684cc6,26
11,2022-11-06,iphone 14,0fd8e23cca352854a7ae750538684cc6,26
12,2022-11-13,iphone 14,0fd8e23cca352854a7ae750538684cc6,26
13,2022-11-20,iphone 14,0fd8e23cca352854a7ae750538684cc6,30
14,2022-11-27,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
15,2022-12-04,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
16,2022-12-11,iphone 14,0fd8e23cca352854a7ae750538684cc6,27
17,2022-12-18,iphone 14,0fd8e23cca352854a7ae750538684cc6,30
18,2022-12-25,iphone 14,0fd8e23cca352854a7ae750538684cc6,33
19,2023-01-01,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
20,2023-01-08,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
21,2023-01-15,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
22,2023-01-22,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
23,2023-01-29,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
24,2023-02-05,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
25,2023-02-12,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
26,2023-02-19,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
27,2023-02-26,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
28,2023-03-05,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
29,2023-03-12,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
30,2023-03-19,iphone 14,0fd8e23cca352854a7ae750538684cc6,21
31,2023-03-26,iphone 14,0fd8e23cca352854a7ae750538684cc6,20
32,2023-04-02,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
33,2023-04-09,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
34,2023-04-16,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
35,2023-04-23,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
36,2023-04-30,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
37,2023-05-07,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
38,2023-05-14,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
39,2023-05-21,iphone 14,0fd8e23cca352854a7ae750538684cc6,22
40,2023-05-28,iphone 14,0fd8e23cca352854a7ae750538684cc6,23
41,2023-06-04,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
42,2023-06-11,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
43,2023-06-18,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
44,2023-06-25,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
45,2023-07-02,iphone 14,0fd8e23cca352854a7ae750538684cc6,27
46,2023-07-09,iphone 14,0fd8e23cca352854a7ae750538684cc6,28
47,2023-07-16,iphone 14,0fd8e23cca352854a7ae750538684cc6,25
48,2023-07-23,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
49,2023-07-30,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
50,2023-08-06,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
51,2023-08-13,iphone 14,0fd8e23cca352854a7ae750538684cc6,24
